delta_x,delta_y,eps_proxy
13,5,2.9403739466481955
14,5,7.571790016825651
-14,6,4.760997163169304
-13,6,4.191443636710454
-12,6,6.486761165346301
-11,6,3.6669350170525936
-10,6,5.395941365049473
-9,6,4.719739476750466
-8,6,6.226100543262999
-7,6,4.554584832031403
-6,6,6.20272387975538
-5,6,5.55931654841022
-4,6,6.238604268241719
-3,6,5.865501037966498
-2,6,6.441546919043043
-1,6,6.23818968616228
0,6,6.183057248624568
1,6,6.1589672352019145
2,6,6.585612965395598
3,6,6.004426282319963
4,6,6.5564852172936785
5,6,5.584945642682179
6,6,6.105582331668481
7,6,5.225528032062379
8,6,5.420791545043354
9,6,5.18349128525686
10,6,6.464059204115794
11,6,3.2548846595980105
12,6,6.345554871145532
13,6,4.89105791454707
14,6,8.786335874637855
-14,7,2.9206779802956757
-13,7,1.7915363652052572
-12,7,5.151119049949953
-11,7,3.094219355010006
-10,7,5.130830284150227
-9,7,3.7828816085885815
-8,7,5.24930437161436
-7,7,4.051819438543629
-6,7,4.379667017870649
-5,7,4.61692454607889
-4,7,5.061855036621767
-3,7,5.3224168202191695
-2,7,4.916721404719472
-1,7,5.055289257805815
0,7,5.133359181035235
1,7,5.010193055876493
2,7,5.107407716656264
3,7,4.85521299525546
4,7,5.315760997030519
5,7,4.698670190717796
6,7,5.161662818352069
7,7,4.645996909993709
8,7,4.728796149601268
9,7,3.4081418798609984
10,7,4.188678103174023
11,7,4.383015253668143
12,7,3.80709670652554
13,7,1.9494777410565358
14,7,7.570453919513556
-14,8,9.16252050544333
-13,8,5.390269756844681
-12,8,4.479153775372177
-11,8,3.8198739070875614
-10,8,4.713216069768654
-9,8,4.811456447137475
-8,8,4.651534382039612
-7,8,5.980325344352866
-6,8,5.231695573659382
-5,8,5.610027880747082
-4,8,5.715586777264301
-3,8,5.914108833644439
-2,8,6.631720998489677
-1,8,5.701198922434432
0,8,5.368686665465312
1,8,6.056030850022833
2,8,6.254071735029584
3,8,5.667065543880163
4,8,5.334524129396784
5,8,5.281771032536091
6,8,6.327177196227651
7,8,5.380900073825704
8,8,5.29253453933125
9,8,6.127624646064488
10,8,4.623872065956803
11,8,4.472481513316697
12,8,4.038066300139927
13,8,3.3056558461941488
14,8,2.212967534557777
-14,9,5.095663044202438
-13,9,1.072458297865614
-12,9,3.884965117245194
-11,9,2.689724693758584
-10,9,3.666827926229067
-9,9,3.1192642869952545
-8,9,4.042772431051347
-7,9,3.766429288696375
-6,9,4.816623329798761
-5,9,4.384583919255691
-4,9,3.995683396070738
-3,9,5.090998251228814
-2,9,4.871119907895476
-1,9,4.750477976368531
0,9,4.6150177631905995
1,9,4.143220043152278
2,9,4.32304545361592
3,9,4.573868927975223
4,9,4.388824145449226
5,9,3.8104427393679847
6,9,4.3060992127347015
7,9,4.345388686350639
8,9,3.474120135359708
9,9,5.373678319645591
10,9,4.2056271291288585
11,9,3.544269324708908
12,9,4.486997720688439
13,9,3.7582277301440876
14,9,7.819370029433532
-14,10,2.9648694097878003
-13,10,4.237851312576504
-12,10,3.285009017984922
-11,10,3.415068526053723
-10,10,1.6186700333328377
-9,10,5.285683894718639
-8,10,6.170696104597402
-7,10,4.765626727549575
-6,10,7.311951383830272
-5,10,5.002620503129414
-4,10,6.211973157318742
-3,10,6.24314588991427
-2,10,5.871535514353579
