delta_x,delta_y,rate_pred_s
-10,4,0.005078646820375854
-9,4,0.00846821712880768
-8,4,0.013873915943873095
-7,4,0.021741816167269983
-6,4,0.03162594629057765
-5,4,0.04647330239537992
-4,4,0.06513620845271466
-3,4,0.09151573173402307
-2,4,0.1185198152733291
-1,4,0.13909514370535
0,4,0.14916031082635658
1,4,0.1397617661054437
2,4,0.11415273025240516
3,4,0.0894567806113579
4,4,0.06701386397092776
5,4,0.04660415840307248
6,4,0.031380837248864
7,4,0.02069830279131616
8,4,0.013932217483740909
9,4,0.008249489400146193
10,4,0.005272429176789504
11,4,0.0031209385744559314
12,4,0.001748268914228481
13,4,0.000858163244111685
14,4,0.00027232153217352737
-14,5,0.0003306998387747359
-13,5,0.0007313400262578759
-12,5,0.0013870765905626113
-11,5,0.002409922571340457
-10,5,0.0043008803795656
-9,5,0.0066094382606454475
-8,5,0.0103033265178408
-7,5,0.01617892922559891
-6,5,0.023864575188460493
-5,5,0.034426173106880974
-4,5,0.0471291790886457
-3,5,0.06299575271972337
-2,5,0.07718093448274256
-1,5,0.0918784150564622
0,5,0.10126184458852755
1,5,0.09216549705662977
2,5,0.0806403440432316
3,5,0.0626319346189572
4,5,0.04754281401537566
5,5,0.03311445192150227
6,5,0.02285069003259899
7,5,0.015343540166613412
8,5,0.010000890193638277
9,5,0.007359046091611986
10,5,0.004528443079172949
11,5,0.0023853261870413734
12,5,0.0014232784232479161
13,5,0.0006466628411221539
14,5,0.0003434079490029998
-14,6,0.00023636939634700654
-13,6,0.0005481152676843862
-12,6,0.0011176398863356647
-11,6,0.0018321248691691527
-10,6,0.002966154957854761
-9,6,0.005347509505152453
-8,6,0.007694443186247107
-7,6,0.012091357919623676
-6,6,0.017346566596451094
-5,6,0.02325193402691302
-4,6,0.032419254414949014
-3,6,0.04062711648634108
-2,6,0.04897372107653279
-1,6,0.05926889124401684
0,6,0.06682578187165479
1,6,0.059371438452289295
2,6,0.04972731223515781
3,6,0.03983025314628561
4,6,0.03213304572596451
5,6,0.024626343733774883
6,6,0.01605227720467371
7,6,0.011686741791070198
8,6,0.007607968316457041
9,6,0.004642322727586181
10,6,0.0030137244250704382
11,6,0.0017857966501474947
12,6,0.0010186594475689965
13,6,0.0006799911341872455
14,6,0.00021645525706624346
-14,7,0.0002528488763468636
