delta_x,delta_y,T_geom_m2sr
-12,12,6.273065152371852e-06
-11,12,1.0974308306337842e-05
-10,12,1.3658262919820437e-05
-9,12,2.010926846362976e-05
-8,12,2.66951627334593e-05
-7,12,3.8867285940573654e-05
-6,12,4.212585727416303e-05
-5,12,5.9985096700191266e-05
-4,12,6.887311339946377e-05
-3,12,7.080945782516017e-05
-2,12,8.42385130647388e-05
-1,12,8.727770606936348e-05
0,12,9.863942577512246e-05
1,12,9.478395228671448e-05
2,12,8.030319538703742e-05
3,12,7.364929140974501e-05
4,12,6.0507981339566176e-05
5,12,5.5883841174901205e-05
6,12,4.263495314783915e-05
7,12,3.6308262795954084e-05
8,12,2.9640935040041767e-05
9,12,2.160098505425211e-05
10,12,1.6562646604692903e-05
11,12,1.0092145860292619e-05
12,12,6.269479461838329e-06
13,12,2.792123377537226e-06
14,12,2.4791646005435036e-06
-14,13,1.4081148388731488e-06
-13,13,2.473826864149619e-06
-12,13,3.488445511380649e-06
-11,13,5.768267842321054e-06
-10,13,8.556075854213736e-06
-9,13,1.1864330653426984e-05
-8,13,1.4462898983465787e-05
-7,13,1.8017013574953272e-05
-6,13,2.1323370348757455e-05
-5,13,3.1883364265209894e-05
-4,13,3.5579249043800643e-05
-3,13,4.0822889768631356e-05
-2,13,4.410226227763754e-05
-1,13,5.0248321469248666e-05
0,13,5.379866172006169e-05
1,13,5.099190975073636e-05
2,13,4.718496127219378e-05
3,13,4.054591672388083e-05
4,13,3.284566519234671e-05
5,13,2.884047079843022e-05
6,13,2.1114810052703715e-05
7,13,1.91215797146147e-05
8,13,1.5271932785060855e-05
9,13,1.0744854817719975e-05
10,13,7.694644903035155e-06
11,13,5.012917579615878e-06
12,13,3.3815016097225944e-06
13,13,2.027732394250894e-06
14,13,1.09215830963387e-06
-14,14,8.456064291589697e-07
-13,14,7.649218365334779e-07
-12,14,1.910609298177614e-06
-11,14,2.6694486311569905e-06
-10,14,3.3471738419813484e-06
-9,14,4.655698064973958e-06
-8,14,4.797576228688849e-06
-7,14,7.606902109513423e-06
-6,14,1.1340749711759016e-05
-5,14,1.407711723933759e-05
-4,14,1.4329899230364366e-05
-3,14,1.6225793901078173e-05
-2,14,1.718931602142242e-05
-1,14,1.8798697969417904e-05
0,14,2.1263246534232075e-05
1,14,1.8127733980949367e-05
2,14,2.0128508686974722e-05
3,14,1.6832316763607922e-05
4,14,1.558293412791026e-05
5,14,1.0835753051678502e-05
6,14,1.1880816433293628e-05
7,14,8.485606591499157e-06
8,14,4.750620882122461e-06
9,14,6.37070111716384e-06
10,14,3.453516485374687e-06
11,14,1.9681526067398937e-06
12,14,1.461568410226903e-06
13,14,8.656867866974092e-07
14,14,4.2629455192697256e-07
