delta_x,delta_y,theta_mean_deg
0,10,53.04957145068708
1,10,53.19718688573912
2,10,53.548046511958724
3,10,54.21581604753064
4,10,55.02279775279649
5,10,55.96506510745412
6,10,57.23360071939223
7,10,58.32467407100197
8,10,59.52873981772695
9,10,60.80947681631514
10,10,61.94915782687318
11,10,63.101273187308145
12,10,64.2813396275587
13,10,65.48337681076644
14,10,66.40548548095165
-14,11,67.32104878890051
-13,11,66.13466999150985
-12,11,65.219434416502
-11,11,64.09533096299391
-10,11,63.157870877882026
-9,11,62.05125276844001
-8,11,61.08384713688635
-7,11,59.959676377150686
-6,11,59.0245302521933
-5,11,58.11469689176357
-4,11,57.2754861271639
-3,11,56.56737312164108
-2,11,56.01325928379803
-1,11,55.71253736212664
0,11,55.54878817471864
1,11,55.73215460972013
2,11,56.0042265466205
3,11,56.609474069879894
4,11,57.281459375619974
5,11,58.03549212927416
6,11,58.96978117054648
7,11,60.0819897049429
8,11,61.01959032998891
9,11,62.08249060142567
10,11,63.175155579056714
11,11,64.24027598482603
12,11,65.21898087711453
13,11,66.08982177778005
14,11,67.17552431450594
-14,12,67.81837389049193
-13,12,67.0128246824343
-12,12,66.08179641490756
-11,12,65.22042098350427
-10,12,64.3375199156033
-9,12,63.407073157286234
-8,12,62.4521312713895
-7,12,61.52374066288161
-6,12,60.66068528217737
-5,12,59.97573556767319
-4,12,59.18738506922336
-3,12,58.68502203370524
-2,12,58.302668556634636
-1,12,57.954715418243794
0,12,57.898993615526074
1,12,57.981381380590015
2,12,58.246944066313965
3,12,58.65546549761212
4,12,59.17799964225129
5,12,59.935581301610895
6,12,60.71236426565149
7,12,61.52521487401639
8,12,62.5288443585546
9,12,63.371323498319356
10,12,64.22157811284463
11,12,65.2414390356529
12,12,66.0944049229699
13,12,66.98068674456118
14,12,67.74402718973839
-14,13,68.65368230273337
-13,13,67.79875801367795
-12,13,66.99601779030179
-11,13,66.17824631788943
-10,13,65.36983973689253
-9,13,64.60746702303253
-8,13,63.769638137727384
-7,13,62.91351265945096
-6,13,62.262911190180944
-5,13,61.551735873724475
-4,13,61.038974888965534
-3,13,60.64910683434243
-2,13,60.276327531829835
-1,13,60.01366677466394
0,13,59.93381529462778
1,13,60.01627608473028
2,13,60.1835742535224
3,13,60.52227957334499
4,13,61.037953940590064
5,13,61.62238477934475
6,13,62.362506520845024
7,13,63.086668330758606
8,13,63.73554104129159
9,13,64.53317426922555
10,13,65.34775850380846
11,13,66.35183555917611
12,13,66.92866662037399
13,13,67.75440134785903
14,13,68.46703135949254
-14,14,69.18744696260036
-13,14,68.4551052369985
-12,14,67.80343555121974
-11,14,67.04160647570808
-10,14,66.31486074832166
-9,14,65.6808317428882
-8,14,64.8912245951401
-7,14,64.32206212679466
-6,14,63.689230397493375
-5,14,63.21535845963393
-4,14,62.69541790802322
-3,14,62.216048305984856
-2,14,61.98413237535075
-1,14,61.86335703805825
0,14,61.74944541999162
1,14,61.81041122000242
2,14,61.97278627838262
3,14,62.37121079989125
4,14,62.64543251150629
5,14,63.27578478806591
6,14,63.65784426725756
7,14,64.39868149010678
8,14,65.15128036160755
9,14,65.68609482095653
10,14,66.41136560871975
11,14,67.10700464806145
12,14,67.79825645670387
13,14,68.67482967061457
14,14,69.01484601804599
