delta_x,delta_y,eps_proxy
3,9,0.17579232415426488
4,9,0.14929139385543824
5,9,0.1289890950184887
6,9,0.13177004614585355
7,9,0.14632033752713428
8,9,0.062070823329848146
9,9,0.0792733769065136
10,9,0.11376137324274282
11,9,0.14749923868669232
12,9,0.0
13,9,0.0
14,9,0.0
-14,10,0.0
-13,10,0.12948477211438006
-12,10,0.0
-11,10,0.04198046555806442
-10,10,0.055590352410297826
-9,10,0.09480114436895236
-8,10,0.09693234114825718
-7,10,0.08911080173792026
-6,10,0.1837974127028356
-5,10,0.11816156593735712
-4,10,0.1934780290443283
-3,10,0.18953458980941051
-2,10,0.17129780945857204
-1,10,0.18674760455752162
0,10,0.231733208780147
1,10,0.2032253343714206
2,10,0.20867187697680595
3,10,0.13121625448343804
4,10,0.1451085217832462
5,10,0.15192201334803057
6,10,0.11027844762170136
7,10,0.14851800289653375
8,10,0.18001720498962046
9,10,0.03792045774758094
10,10,0.055590352410297826
11,10,0.12594139667419327
12,10,0.13729536246990476
13,10,0.12948477211438006
14,10,0.0
-14,11,0.0
-13,11,0.19201391777096785
-12,11,0.0
-11,11,0.0
-10,11,0.04198046555806442
-9,11,0.029499847737338467
-8,11,0.10611444814292738
-7,11,0.11205264267129975
-6,11,0.09923599854258504
-5,11,0.14183683579762552
-4,11,0.20568952787068856
-3,11,0.17812910655477215
-2,11,0.28133706175561213
-1,11,0.20535638845228552
0,11,0.1314591912360807
1,11,0.19580492852427225
2,11,0.17854082765260001
3,11,0.17176735274924457
4,11,0.12950822125191502
5,11,0.13238104674445048
6,11,0.14885399781387756
7,11,0.14406768343452825
8,11,0.12733733777151285
9,11,0.14749923868669232
10,11,0.04198046555806442
11,11,0.18979142590113623
12,11,0.0
13,11,0.0
14,11,0.0
-14,12,0.0
-13,12,0.0
-12,12,0.16816836135752652
-11,12,0.0
-10,12,0.06864768123495238
-9,12,0.09675187954034814
-8,12,0.0
-7,12,0.0
-6,12,0.06250609864795767
-5,12,0.10151810861026493
-4,12,0.09899142053519266
-3,12,0.1753119464079305
-2,12,0.1300141879036737
-1,12,0.13300890713538888
0,12,0.1629704593360612
1,12,0.15961068856246666
2,12,0.09000982239485102
3,12,0.16362448331406845
4,12,0.09899142053519266
5,12,0.11843779337864242
6,12,0.08334146486394356
7,12,0.08089717266383584
8,12,0.07125573557666938
9,12,0.09675187954034814
10,12,0.2745907249398095
11,12,0.0
12,12,0.0
13,12,0.0
14,12,0.0
-14,13,0.0
-13,13,0.0
-12,13,0.0
-11,13,0.0
-10,13,0.0
-9,13,0.0
-8,13,0.06683779453156254
-7,13,0.10224750915053905
-6,13,0.12132222253060881
-5,13,0.06539904950068683
-4,13,0.1350547521819076
-3,13,0.09170232933888049
-2,13,0.1417014579424619
-1,13,0.10976585404535487
0,13,0.16919684768377496
1,13,0.09147154503779573
2,13,0.1619445233628136
3,13,0.1146279116736006
4,13,0.08103285130914456
5,13,0.13079809900137365
6,13,0.04044074084353627
7,13,0.05112375457526953
8,13,0.13367558906312507
9,13,0.27145790103964346
10,13,0.12948477211438006
11,13,0.0
12,13,0.0
13,13,0.5189554701170596
14,13,0.0
-14,14,0.0
-13,14,0.0
-12,14,0.0
-11,14,0.0
-10,14,0.0
-9,14,0.0
-8,14,0.0
-7,14,0.0
-6,14,0.20610085602224995
-5,14,0.0
-4,14,0.07051631972965516
-3,14,0.18198333379591342
-2,14,0.21380904773191522
-1,14,0.2409620958491838
0,14,0.08903315059617299
1,14,0.2409620958491838
2,14,0.10690452386595761
3,14,0.0
4,14,0.28206527891862065
5,14,0.16792186223225797
6,14,0.10305042801112498
7,14,0.0
8,14,0.0
9,14,0.23177477383993192
10,14,0.0
11,14,0.0
12,14,0.0
13,14,0.0
14,14,0.0
