theta_deg,phi_deg,AOmega_MC_cm2sr,AOmega_analytic_cm2sr,ratio_MC_over_analytic
7.0,72.5,1.2223561351090166,1.2257639220479184,0.9972198668294885
7.0,77.5,1.2276289138795597,1.230410111569253,0.997739617332837
7.0,82.50000000000001,1.2323710985599912,1.2357634312822454,0.9972548688232874
7.0,87.5,1.2384729305963436,1.2417924641947657,0.9973268209510558
7.0,92.5,1.2379091743755963,1.2417924641947686,0.9968728350902899
7.0,97.5,1.2323710985599883,1.2357634312822423,0.9972548688232875
7.0,102.50000000000001,1.227098319789445,1.230410111569256,0.9973083838074224
7.0,107.5,1.2230525398522931,1.2257639220479153,0.9977880062001725
7.0,112.5,1.2191062463070417,1.2218516290563872,0.9977530964610934
7.0,117.5,1.2164864379870848,1.218695405694285,0.9981874324815874
7.0,122.50000000000001,1.2146293586716785,1.2163128940492365,0.9986158698260994
7.0,127.50000000000001,1.214231413104084,1.214717264742811,0.9996000290332335
7.0,132.5,1.2141650888428193,1.2139172674538732,1.000204150147288
7.0,137.5,1.2140324403202898,1.2139172674538732,1.0000948770311655
7.0,142.5,1.2153257634149581,1.2147172647428173,1.0005009385227348
7.0,147.5,1.2164864379870848,1.2163128940492303,1.0001426803404811
7.0,152.5,1.2187414628700857,1.218695405694285,1.000037792196135
7.0,157.5,1.2217260546269986,1.2218516290563872,0.9998972261227121
7.0,162.5,1.226833022744383,1.2257639220479153,1.0008721913553156
7.0,167.5,1.23160836955545,1.2304101115692592,1.000973868773447
7.0,172.5,1.2368479861953576,1.2357634312822423,1.0008776395915762
7.0,177.5,1.242883493970448,1.2417924641947657,1.000878592685284
9.0,-177.5,1.558147499157641,1.5549317981371014,1.0020680656376004
9.0,-172.5,1.5481930444408607,1.545202812976831,1.0019351708648971
9.0,-167.5,1.540525996339859,1.536577803442592,1.0025694715154816
9.0,-162.5,1.5333249014383505,1.5291025915194765,1.002761299302147
9.0,-157.5,1.5275640255171503,1.5228158022920892,1.0031180548677747
9.0,-152.5,1.5225232590860995,1.5177491249810964,1.0031455357321077
9.0,-147.5,1.5189227116353492,1.5139275626926856,1.003299463637335
9.0,-142.5,1.5160846330565305,1.5113696540635835,1.0031196729273146
9.0,-137.5,1.5141784608767137,1.510087652598374,1.0027089873036845
9.0,-132.5,1.514602054694449,1.510087652598374,1.0029894967277608
9.0,-127.50000000000001,1.5160422736747492,1.511369654063576,1.0030916457787875
9.0,-122.50000000000001,1.518202602145207,1.5139275626926934,1.0028238071344113
9.0,-117.5,1.5210830401057995,1.5177491249810964,1.0021966180509212
9.0,-112.5,1.5248530250836438,1.5228158022920892,1.0013377998760509
9.0,-107.5,1.5315881667856357,1.5291025915194765,1.001625512427972
9.0,-102.50000000000001,1.5382385897240844,1.536577803442588,1.0010808344867246
9.0,-97.5,1.5465833879334665,1.545202812976831,1.0008934587389056
9.0,-92.5,1.55569065501478,1.5549317981371054,1.0004880322587677
9.0,-87.5,1.5566649207955672,1.5549317981371014,1.0011145972193392
9.0,-82.50000000000001,1.5471340598965264,1.545202812976835,1.0012498339399027
9.0,-77.5,1.5384080272511746,1.536577803442584,1.0011911038962622
9.0,-72.5,1.531037494822584,1.5291025915194805,1.0012653848825022
9.0,-67.5,1.5242599937388146,1.5228158022920892,1.0009483690966114
9.0,-62.50000000000001,1.518499117817618,1.5177491249811004,1.000494148093498
9.0,-57.5,1.5142631796402606,1.5139275626926856,1.0002216862654763
9.0,-52.50000000000001,1.5128653200417364,1.5113696540635781,1.0009896096392679
9.0,-47.5,1.5112980229161155,1.510087652598376,1.0008015232199647
9.0,-42.5,1.511806335497398,1.510087652598376,1.0011381345288566
9.0,-37.49999999999999,1.5132889138594716,1.5113696540635781,1.001269881124537
9.0,-32.5,1.5151103672757336,1.5139275626926878,1.000781282151269
9.0,-27.5,1.5196004617437269,1.5177491249810975,1.00121979102617
9.0,-22.5,1.5237093217757607,1.5228158022920912,1.0005867548014176
9.0,-17.5,1.5295972758422818,1.5291025915194785,1.0003235128405032
9.0,-12.499999999999998,1.537518480233932,1.5365778034425857,1.00061218949619
9.0,-7.499999999999999,1.54552440338913,1.5452028129768327,1.0002081218139112
9.0,-2.5,1.5550129049064014,1.5549317981371031,1.0000521609818485
9.0,2.5,1.5535303265443279,1.5549317981371031,0.9990986925635875
9.0,7.499999999999999,1.5445924969901121,1.5452028129768327,0.9996050253199159
9.0,12.499999999999998,1.535781745581217,1.5365778034425857,0.9994819280484301
9.0,17.5,1.5270980723176433,1.5291025915194785,0.9986890878264464
9.0,22.5,1.5204476493791987,1.5228158022920912,0.9984448855145002
9.0,27.5,1.5154068829481473,1.5177491249810975,0.9984567660133031
9.0,32.5,1.511509819824983,1.5139275626926878,0.9984029996366507
9.0,37.49999999999999,1.5086293818643828,1.5113696540635781,0.9981868947865747
9.0,42.5,1.5059183814308768,1.510087652598376,0.9972390535341937
9.0,47.5,1.5045628812141236,1.510087652598376,0.996341423377149
9.0,52.50000000000001,1.505452428231368,1.5113696540635781,0.9960848586470552
9.0,57.5,1.5082057880466453,1.5139275626926856,0.99622057568206
