theta_x_deg,theta_y_deg,counts
3.436427400363563,-29.209632903090295,6
3.436427400363563,-27.49141920290851,11
3.436427400363563,-24.054991802544947,19
3.436427400363563,-22.33677810236317,16
3.436427400363563,-18.900350701999603,23
3.436427400363563,-15.463923301636038,17
3.436427400363563,-12.027495901272475,22
3.436427400363563,-10.309282201090694,19
3.436427400363563,-6.872854800727129,27
3.436427400363563,-3.4364274003635664,32
3.436427400363563,-3.552713678800501e-15,30
3.436427400363563,3.436427400363563,33
3.436427400363563,6.872854800727126,28
3.436427400363563,10.309282201090689,21
3.436427400363563,12.02749590127247,22
3.436427400363563,15.463923301636033,28
3.436427400363563,18.9003507019996,22
3.436427400363563,22.336778102363162,25
3.436427400363563,24.054991802544944,15
3.436427400363563,27.49141920290851,16
3.436427400363563,29.209632903090288,13
3.436427400363563,32.64606030345386,13
3.436427400363563,34.364274003635636,5
3.436427400363563,36.082487703817414,4
3.436427400363563,37.8007014039992,4
6.872854800727126,-37.8007014039992,1
6.872854800727126,-34.36427400363564,3
6.872854800727126,-32.64606030345386,1
6.872854800727126,-29.209632903090295,3
6.872854800727126,-27.49141920290851,16
6.872854800727126,-24.054991802544947,17
6.872854800727126,-22.33677810236317,11
6.872854800727126,-18.900350701999603,18
6.872854800727126,-15.463923301636038,27
6.872854800727126,-12.027495901272475,19
6.872854800727126,-10.309282201090694,21
6.872854800727126,-6.872854800727129,27
6.872854800727126,-3.4364274003635664,32
6.872854800727126,-3.552713678800501e-15,26
6.872854800727126,3.436427400363563,31
6.872854800727126,6.872854800727126,23
6.872854800727126,10.309282201090689,29
6.872854800727126,12.02749590127247,27
6.872854800727126,15.463923301636033,16
6.872854800727126,18.9003507019996,21
6.872854800727126,22.336778102363162,17
6.872854800727126,24.054991802544944,13
6.872854800727126,27.49141920290851,10
6.872854800727126,29.209632903090288,11
6.872854800727126,32.64606030345386,9
6.872854800727126,36.082487703817414,1
6.872854800727126,37.8007014039992,4
10.309282201090689,-37.8007014039992,4
10.309282201090689,-36.08248770381742,1
10.309282201090689,-34.36427400363564,4
10.309282201090689,-29.209632903090295,7
10.309282201090689,-27.49141920290851,13
